Part#|Plant|Warehouse|Inv. Lov|Box Unit|Dept|Stock Date
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000286|1815|181|B03-02D01|1.000|F|20250906
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
Y00000305|1815|181|B03-08B01|1.000|F|20260123
